id,name,country,city,zip,address,status,lat,lng,photo,marker,position,state,description,phone,email,website,category,action_serialized,store_img,stores,schedule,marker_img,show_schedule,url_key,meta_title,meta_description,meta_robots,short_description,canonical_url
2,Lawrences Furniture One Albury ,AU,Albury,2640,549 Young Street,1,-36.0789142,146.9237192,,,,New South Wales,,(02) 6021 6111,admin@lawrencesfurnitureone.com.au,,,,,0,,,0,lawrences,Lawrences Furniture One Albury ,,,,
3,Alpha Furnishers Pty Ltd ,AU,Armidale ,2350,125 Faulkner Street,1,-30.514863,151.6648896,,,,New South Wales,,(02) 6772 3823,armidale@furnitureone.com.au,,,,,0,,,0,armidale,Alpha Furnishers Pty Ltd ,,,,
4,Batemans Bay Furniture One ,AU,Batemans Bay,2536,Homemakers Centre 136 Princes Hwy,1,-35.7206788,150.1745835,,,,New South Wales,,(02) 4472 7244,sales@batemansbayfurnitureone.com.au,,,,,0,,,0,batemansbay,Batemans Bay Furniture One ,,,,
5,Turners Furniture One ,AU,Bathurst ,2795,Opposite Bunnings 4-5/ 14 Stockland Drive,1,-33.4208589,149.6024399,,,,New South Wales,,(02) 6331 8727,bathurst@turnersfurniture.com.au,,,,,0,,,0,bathurst,Turners Furniture One ,,,,
6,Bega Furniture One ,AU,Bega,2550,169-173 Carp Street,1,-36.6741667,149.842394,,,,New South Wales,,(02) 6492 1488,sales@begafurnitureone.com.au,,,,,0,,,0,bega,Bega Furniture One ,,,,
7,Bourke Furniture One ,AU,Bourke ,2840,22 Oxley Street,1,-30.0901124,145.9354884,,,,New South Wales,,(02) 6872 2351,kellyr@auzzie.net,,,,,0,,,0,bourke ,Bourke Furniture One ,,,,
8,Vines Furniture One ,AU,Broken Hill ,2880,58 Oxide Street,1,-31.9554232,141.4670873,,,,New South Wales,,(08) 8087 3567,vinesf@bigpond.net.au,,,,,0,,,0,brokenhill ,Vines Furniture One ,,,,
9,Camden Furniture One ,AU,Camden ,2570,185 Argyle Street,1,-34.0553082,150.6937926,,,,New South Wales,,(02) 4655 7896 ,sales@camdenfurnitureone.com.au,,,,,0,,,0,camden,Camden Furniture One ,,,,
10,Campsie Furniture One,AU,Campsie ,2194,12 Harp Street,1,-33.9242559,151.1023099,,,,New South Wales,,(02) 9007 8981,info@mattresswarehouse.com.au,,,,,0,,,0,campsie ,Campsie Furniture One,,,,
11,Breen's Furniture One ,AU,Casino,2470,Industrial Estate 1st Avenue,1,-28.8599577,153.0678262,,,,New South Wales,,(02) 6662 2474,vince@breensfurnishings.com.au,,,,,0,,,0,breens,Breen's Furniture One ,,,,
12,Castle Hill Furniture One,AU,Castle Hill ,2154,1/6 Hudson Avenue,1,-33.7325134,150.9734294,,,,New South Wales,,(02) 9899 6611,gwvast@bigpond.com,,,,,0,,,0,castlehill ,Castle Hill Furniture One,,,,
13,Turner's Furniture One ,AU,Cootamundra ,2590,74-76 Murray Street,1,-34.6358213,148.0255488,,,,New South Wales,,(02) 6942 4964,Cootamundra@turnersfurniture.com.au,,,,,0,,,0,cootamundra,Turner's Furniture One ,,,,
